plugin,loaded_count,used_count,keymap_triggered,last_loaded,last_used
CamelCaseMotion,1,0,1,2026-05-17T19:14:03Z,
Comment.nvim,1,0,1,2026-05-17T19:14:03Z,
FixCursorHold.nvim,1,0,0,2026-05-17T19:14:03Z,
LuaSnip,1,0,1,2026-05-17T19:14:03Z,
blink.cmp,1,0,1,2026-05-17T19:14:03Z,
color-picker.nvim,1,0,0,2026-05-17T19:14:03Z,
copilot.lua,1,0,0,2026-05-17T19:22:18Z,
dressing.nvim,1,0,0,2026-05-17T19:14:03Z,
eva01.vim,1,0,0,2026-05-17T19:14:03Z,
fidget.nvim,1,0,0,2026-05-17T19:14:03Z,
friendly-snippets,1,0,0,2026-05-17T19:14:03Z,
git-worktree.nvim,1,0,0,2026-05-17T19:14:03Z,
gitsigns.nvim,1,0,1,2026-05-17T19:14:03Z,
go.nvim,1,0,0,2026-05-17T19:14:04Z,
gruvbox.nvim,1,0,0,2026-05-17T19:14:03Z,
guihua.lua,1,0,0,2026-05-17T19:14:04Z,
harpoon,1,0,1,2026-05-17T19:14:03Z,
kanagawa.nvim,1,0,0,2026-05-17T19:14:03Z,
lazydev.nvim,1,0,0,2026-05-17T19:14:03Z,
leetcode.vim,1,0,1,2026-05-17T19:14:03Z,
lsp_signature.nvim,1,0,0,2026-05-17T19:14:03Z,
lspkind-nvim,1,0,0,2026-05-17T19:14:03Z,
lualine.nvim,1,0,0,2026-05-17T19:14:03Z,
markdown-preview.nvim,1,0,0,2026-05-17T19:14:03Z,
mason-lspconfig.nvim,1,0,0,2026-05-17T19:14:03Z,
mason-null-ls.nvim,1,0,0,2026-05-17T19:14:03Z,
mason-nvim-dap.nvim,1,0,0,2026-05-17T19:14:03Z,
mason.nvim,1,0,0,2026-05-17T19:14:03Z,
md-preview.nvim,1,0,1,2026-05-17T19:14:03Z,
neotest,1,0,1,2026-05-17T19:14:03Z,
neotest-go,1,0,0,2026-05-17T19:14:03Z,
neotest-python,1,0,0,2026-05-17T19:14:03Z,
neotest-vim-test,1,0,0,2026-05-17T19:14:03Z,
neovim-project,1,0,0,2026-05-17T19:14:03Z,
neovim-session-manager,1,0,0,2026-05-17T19:14:03Z,
none-ls.nvim,1,0,0,2026-05-17T19:14:03Z,
nvim,1,0,0,2026-05-17T19:14:03Z,
nvim-colorizer.lua,1,0,0,2026-05-17T19:14:03Z,
nvim-dap,1,0,1,2026-05-17T19:14:03Z,
nvim-dap-go,1,0,0,2026-05-17T19:14:03Z,
nvim-dap-python,1,0,0,2026-05-17T19:14:03Z,
nvim-dap-ui,1,0,0,2026-05-17T19:14:03Z,
nvim-dap-virtual-text,1,0,0,2026-05-17T19:14:03Z,
nvim-dap-vscode-js,1,0,0,2026-05-17T19:14:03Z,
nvim-lspconfig,1,0,1,2026-05-17T19:14:03Z,
nvim-nio,1,0,0,2026-05-17T19:14:03Z,
nvim-notify,1,0,0,2026-05-17T19:14:03Z,
nvim-treesitter,1,0,1,2026-05-17T19:14:03Z,
nvim-treesitter-context,1,0,1,2026-05-17T19:14:03Z,
nvim-ts-autotag,1,0,1,2026-05-17T19:14:03Z,
nvim-ts-context-commentstring,1,0,0,2026-05-17T19:14:03Z,
nvim-ufo,1,0,0,2026-05-17T19:14:03Z,
nvim-web-devicons,1,0,0,2026-05-17T19:14:03Z,
nvimgelion,1,0,0,2026-05-17T19:14:03Z,
octo.nvim,1,0,0,2026-05-17T19:14:03Z,
one-small-step-for-vimkind,1,0,0,2026-05-17T19:14:03Z,
onedark.nvim,1,0,0,2026-05-17T19:14:03Z,
orgmode,1,0,0,2026-05-17T19:14:04Z,
overseer.nvim,1,0,1,2026-05-17T19:14:03Z,
plenary.nvim,1,0,1,2026-05-17T19:14:03Z,
plugin-tracker.nvim,1,0,0,2026-05-17T19:14:03Z,
promise-async,1,0,0,2026-05-17T19:14:03Z,
refactoring.nvim,1,0,1,2026-05-17T19:14:03Z,
render-markdown.nvim,1,0,1,2026-05-17T19:14:03Z,
telescope-dap.nvim,1,0,0,2026-05-17T19:14:03Z,
telescope-fzf-native.nvim,1,0,0,2026-05-17T19:14:03Z,
telescope.nvim,1,0,1,2026-05-17T19:14:03Z,
todo-comments.nvim,1,0,1,2026-05-17T19:14:03Z,
toggleterm.nvim,1,0,0,2026-05-17T19:14:03Z,
tokyonight.nvim,1,0,0,2026-05-17T19:14:03Z,
undotree,1,0,1,2026-05-17T19:14:03Z,
vim-dispatch,1,0,1,2026-05-17T19:14:03Z,
vim-dotenv,1,0,1,2026-05-17T19:14:03Z,
vim-fugitive,1,0,1,2026-05-17T19:14:03Z,
vim-monokai,1,0,0,2026-05-17T19:14:03Z,
vim-projectionist,1,0,0,2026-05-17T19:14:03Z,
vim-repeat,1,0,0,2026-05-17T19:14:03Z,
vim-rhubarb,1,0,0,2026-05-17T19:14:03Z,
vim-snippets,1,0,0,2026-05-17T19:14:03Z,
vim-surround,1,0,1,2026-05-17T19:14:03Z,
vim-test,1,0,1,2026-05-17T19:14:03Z,
vim-textobj-entire,1,0,0,2026-05-17T19:14:03Z,
vim-textobj-user,1,0,1,2026-05-17T19:14:03Z,
which-key.nvim,1,0,0,2026-05-17T19:14:03Z,
